,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
24,24,-3.707673,2024-05-08 19:11:28.864891,2024-05-08 19:11:32.611834,0 days 00:00:03.746943,tanh,1.22263826306648e-07,0.92,0.9999,0.0470623885129842,constant,1.0,1024,medium,False,False,True,0.7267279203869274,PRUNED
25,25,0.0,2024-05-08 19:11:32.612020,2024-05-08 19:11:36.375437,0 days 00:00:03.763417,tanh,1.2283082035927922e-06,0.99,0.9999,0.28927219271875604,constant,0.5,2048,medium,False,False,True,0.8927573937914229,PRUNED
26,26,1.211042,2024-05-08 19:11:36.375621,2024-05-08 19:11:39.921775,0 days 00:00:03.546154,relu,0.0002148556669003932,0.9,0.98,0.004020562927172057,constant,0.9,64,small,True,True,False,0.6002100641860104,PRUNED
27,27,-1.9071940000000003,2024-05-08 19:11:39.921965,2024-05-08 19:11:43.673851,0 days 00:00:03.751886,tanh,1.0902353155719324e-07,0.8,0.95,0.0006035148849649692,constant,1.0,1024,medium,False,False,True,0.7691976353688971,PRUNED
28,28,2.5119329999999995,2024-05-08 19:11:43.674030,2024-05-08 19:17:27.485437,0 days 00:05:43.811407,tanh,1.3798420179624842e-05,1.0,0.999,0.0016589406226559117,linear,0.9,64,small,False,False,True,0.45418058757788354,COMPLETE
29,29,-1.179628,2024-05-08 19:17:27.485815,2024-05-08 19:17:31.162792,0 days 00:00:03.676977,tanh,3.131576817786532e-06,0.98,0.99,6.01279217918625e-05,linear,0.5,16,small,False,True,False,0.12669416159312802,PRUNED
30,30,-2.7702880000000003,2024-05-08 19:17:31.162973,2024-05-08 19:17:34.817891,0 days 00:00:03.654918,tanh,0.0006925068606573094,0.95,0.999,0.1434971228997188,constant,0.5,2048,medium,False,False,True,0.874112132475773,PRUNED
31,31,0.0,2024-05-08 19:17:34.818107,2024-05-08 19:17:38.921694,0 days 00:00:04.103587,tanh,0.011924230216586411,0.99,0.9,0.00030925807597771313,constant,0.8,32,medium,False,False,True,0.37479012789530697,PRUNED
32,32,-2.78593,2024-05-08 19:17:38.921877,2024-05-08 19:17:42.591264,0 days 00:00:03.669387,tanh,0.004343123856141889,0.99,0.9,0.00036792919588865184,constant,0.8,512,medium,False,False,True,0.21548342079272784,PRUNED
33,33,-2.713536,2024-05-08 19:17:42.591454,2024-05-08 19:17:46.179009,0 days 00:00:03.587555,tanh,0.011610556951109952,0.99,0.995,0.000165135757568042,constant,0.8,512,medium,False,False,True,0.11311068222693159,PRUNED
34,34,-1.5213,2024-05-08 19:17:46.179196,2024-05-08 19:17:49.795813,0 days 00:00:03.616617,tanh,0.03250776965013001,0.99,0.9,1.5766142485932346e-05,constant,0.3,512,medium,True,False,True,0.2974283390776653,PRUNED
35,35,-1.9071940000000003,2024-05-08 19:17:49.795990,2024-05-08 19:17:53.574541,0 days 00:00:03.778551,relu,0.0017375794476678897,0.98,0.9,3.244654355457261e-05,constant,0.8,512,medium,False,False,True,0.3803384637541196,PRUNED
36,36,0.0,2024-05-08 19:17:53.574731,2024-05-08 19:17:57.334555,0 days 00:00:03.759824,tanh,0.0226610059573362,0.99,0.9999,0.0004629076757638909,linear,0.7,8,medium,False,False,False,0.1426790447910997,PRUNED
37,37,-1.9050720000000003,2024-05-08 19:17:57.334746,2024-05-08 19:18:00.981448,0 days 00:00:03.646702,tanh,0.0006842619304541156,0.8,0.995,0.0012879425551567745,constant,2.0,2048,medium,True,True,True,0.6627695501916362,PRUNED
38,38,-1.911125,2024-05-08 19:18:00.981628,2024-05-08 19:18:04.659119,0 days 00:00:03.677491,relu,5.309710474155152e-07,0.92,0.9,0.0033705338058857837,constant,0.6,64,medium,False,False,True,0.9345807954125688,PRUNED
39,39,2.5119329999999995,2024-05-08 19:18:04.659303,2024-05-08 19:24:03.819587,0 days 00:05:59.160284,tanh,7.664236596222271e-05,0.99,0.9999,8.665982733129471e-05,linear,5.0,128,small,False,False,False,0.440198882606251,COMPLETE
40,40,-1.9071940000000003,2024-05-08 19:24:03.819950,2024-05-08 19:24:07.535480,0 days 00:00:03.715530,relu,2.594335901072497e-05,0.9,0.99,0.006287031078584894,constant,0.9,256,medium,True,True,True,0.06046593134053918,PRUNED
41,41,0.17567,2024-05-08 19:24:07.535666,2024-05-08 19:24:11.793603,0 days 00:00:04.257937,tanh,3.980525800108816e-07,0.92,0.9999,0.8690774000298506,constant,1.0,1024,medium,False,False,True,0.8817179302981714,PRUNED
42,42,-1.5462869999999997,2024-05-08 19:24:11.793787,2024-05-08 19:24:15.558748,0 days 00:00:03.764961,tanh,2.7719064002106246e-08,0.92,0.9999,0.4358583803232313,constant,1.0,1024,medium,False,False,True,0.8311077003795361,PRUNED
43,43,-1.033565,2024-05-08 19:24:15.558950,2024-05-08 19:24:19.385645,0 days 00:00:03.826695,tanh,5.072479587388624e-07,0.92,0.9999,0.36475562463664263,constant,1.0,1024,medium,False,False,True,0.9947741824368757,PRUNED
44,44,2.508347,2024-05-08 19:24:19.385863,2024-05-08 19:24:32.215477,0 days 00:00:12.829614,tanh,3.0993350315684733e-06,0.92,0.98,0.00021040962233324152,constant,1.0,512,medium,False,False,True,0.7336667437509155,PRUNED
45,45,-0.244842,2024-05-08 19:24:32.215661,2024-05-08 19:24:36.167899,0 days 00:00:03.952238,tanh,0.09928989035522305,0.99,0.9999,0.037771606248379316,constant,0.8,1024,medium,False,False,True,0.2695774290576587,PRUNED
46,46,0.0,2024-05-08 19:24:36.168093,2024-05-08 19:24:40.097854,0 days 00:00:03.929761,tanh,3.447815701383176e-08,1.0,0.9,0.22753921750437103,linear,0.5,64,small,False,False,True,0.6798713517192901,PRUNED
47,47,-1.9071940000000003,2024-05-08 19:24:40.098040,2024-05-08 19:31:24.279762,0 days 00:06:44.181722,tanh,1.538689173408336e-05,0.95,0.95,0.6491897605495394,constant,0.9,2048,medium,False,False,True,0.9091115279733942,COMPLETE
48,48,0.0,2024-05-08 19:31:24.280184,2024-05-08 19:31:28.059952,0 days 00:00:03.779768,tanh,0.00021910830747058678,0.99,0.9999,0.14411044536658985,linear,5.0,16,small,False,False,True,0.6010081941202663,PRUNED
49,49,-1.9071940000000003,2024-05-08 19:31:28.060134,2024-05-08 19:37:32.457317,0 days 00:06:04.397183,tanh,1.0721262695139794e-08,0.98,0.9,0.0007785094865809584,constant,0.6,32,medium,False,False,False,0.8523228487929244,COMPLETE
