,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,-0.35569715558509346,-2.1191480705493415,13.0,1.6,-0.0006527415143603093,0.31493957865468936,1.8231563439172223,-0.35569715558509346,-2.1191480705493415,27.461527777777782,159.0
min,2024-04-01 00:59:59.999000,-0.4436871056673207,-2.6905733981869093,2.0,1.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.4436871056673207,-2.6905733981869093,5.642361111111111,159.0
25%,2024-04-01 00:59:59.999000064,-0.4025175935173009,-2.4525409002803684,7.0,1.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.4025175935173009,-2.4525409002803684,7.523611111111111,159.0
50%,2024-04-01 00:59:59.999000064,-0.38790899324171146,-2.4220566710423554,7.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.38790899324171146,-2.4220566710423554,22.570833333333333,159.0
75%,2024-04-01 00:59:59.999000064,-0.38621857967295825,-2.2627951922383387,21.0,2.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.38621857967295825,-2.2627951922383387,22.570833333333333,159.0
max,2024-04-01 00:59:59.999000,-0.1581535058261756,-0.7677741909987359,28.0,2.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.1581535058261756,-0.7677741909987359,79.0,159.0
std,,0.10194740350336133,0.696386762427901,9.918031404405589,0.4948716593053935,0.0032302327630900165,0.0,2.2429892266911074e-16,0.10194740350336133,0.696386762427901,27.020961093850346,0.0
