,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,1.2649633297783145,2.421071006281311,15.8,0.6,0.017986164488854796,1.6560951437066402,2.9541686546961325,1.2649633297783145,2.421071006281311,13.78625,159.0
min,2024-04-01 00:59:59.999000,0.563608804909252,1.5305788657919606,5.0,0.0,0.0,1.6560951437066405,2.954168654696132,0.563608804909252,1.5305788657919606,6.583333333333333,159.0
25%,2024-04-01 00:59:59.999000064,0.923010916852548,1.9854251983343936,11.0,0.0,0.0,1.6560951437066405,2.954168654696132,0.923010916852548,1.9854251983343936,6.8694444444444445,159.0
50%,2024-04-01 00:59:59.999000064,1.4559594089518368,2.5553370245268754,16.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.4559594089518368,2.5553370245268754,9.875,159.0
75%,2024-04-01 00:59:59.999000064,1.6649247751942782,2.9691151298465748,23.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.6649247751942782,2.9691151298465748,14.003472222222221,159.0
max,2024-04-01 00:59:59.999000,1.7173127429836588,3.064898812906749,24.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.7173127429836588,3.064898812906749,31.599999999999998,159.0
std,,0.45398423823358,0.591721371942994,7.267484195415374,0.49487165930539345,0.014834738441898861,2.2429892266911074e-16,4.485978453382215e-16,0.45398423823358,0.591721371942994,9.393864244967823,0.0
