,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,0.9804706141352834,1.9333597212102853,16.2,1.4,0.005995388162951598,1.6560951437066402,2.9541686546961325,0.9804706141352834,1.9333597212102853,67.55277777777778,159.0
min,2024-04-01 00:59:59.999000,-0.17427149046144141,0.09369565481603226,1.0,1.0,-0.02997694081475799,1.6560951437066405,2.954168654696132,-0.17427149046144141,0.09369565481603226,4.513888888888889,159.0
25%,2024-04-01 00:59:59.999000064,-0.008997394040075601,0.6025271047036022,1.0,1.0,-0.02997694081475799,1.6560951437066405,2.954168654696132,-0.008997394040075601,0.6025271047036022,5.096527777777777,159.0
50%,2024-04-01 00:59:59.999000064,1.6560951437066405,2.954168654696133,13.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.6560951437066405,2.954168654696133,12.153472222222222,159.0
75%,2024-04-01 00:59:59.999000064,1.6560951437066405,2.954168654696133,31.0,2.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.6560951437066405,2.954168654696133,158.0,159.0
max,2024-04-01 00:59:59.999000,1.7734316677646524,3.0622385371395273,35.0,2.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.7734316677646524,3.0622385371395273,158.0,159.0
std,,0.8868886810736366,1.3181579965350148,14.602208387635015,0.4948716593053935,0.029669476883797723,2.2429892266911074e-16,4.485978453382215e-16,0.8868886810736366,1.3181579965350148,74.64906706619094,0.0
