,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,2024-04-01 00:59:59.999000064,0.10523750375038332,0.7001146218467815,50.7,1.0,0.0003263707571801547,0.31493957865468936,1.8231563439172223,0.10523750375038332,0.7001146218467815,3.163194444444444,159.0
min,2024-04-01 00:59:59.999000,-0.17223006911288985,-0.918206384943031,42.0,0.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.17223006911288985,-0.918206384943031,2.4305555555555554,159.0
25%,2024-04-01 00:59:59.999000064,-0.030830137144483516,0.008864216097870761,45.25,0.25,-0.0024477806788511603,0.31493957865468936,1.8231563439172225,-0.030830137144483516,0.008864216097870761,2.8946180555555556,159.0
50%,2024-04-01 00:59:59.999000064,0.07630571872018643,0.6173593635801897,50.0,1.0,0.0,0.31493957865468936,1.8231563439172225,0.07630571872018643,0.6173593635801897,3.1506944444444445,159.0
75%,2024-04-01 00:59:59.999000064,0.2125278580531358,1.345895737601523,54.5,1.75,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.2125278580531358,1.345895737601523,3.475347222222222,159.0
max,2024-04-01 00:59:59.999000,0.5652701521767529,2.8739404082652262,65.0,2.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.5652701521767529,2.8739404082652262,3.7618055555555556,159.0
std,,0.2145726918726511,1.1106221358294595,7.257945837341153,0.816496580927726,0.0028576861480773754,0.0,2.340555645717801e-16,0.2145726918726511,1.1106221358294595,0.43153959630889227,0.0
