,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,0.36092417413322436,1.6089669521586512,8.8,0.6,0.0,1.0663238254814678,3.432569849017188,0.36092417413322436,1.6089669521586512,28.67930555555555,159.0
min,2024-04-01 00:59:59.999000,-0.3843234656495459,-0.28223100636323456,3.0,0.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.3843234656495459,-0.28223100636323456,10.533333333333333,159.0
25%,2024-04-01 00:59:59.999000064,0.17493409532435544,0.9624170304624062,3.0,0.0,0.0,1.0663238254814678,3.432569849017187,0.17493409532435544,0.9624170304624062,13.166666666666666,159.0
50%,2024-04-01 00:59:59.999000064,0.42412009414313,1.812159398102696,11.0,0.0,0.0,1.0663238254814678,3.432569849017187,0.42412009414313,1.812159398102696,14.363194444444446,159.0
75%,2024-04-01 00:59:59.999000064,0.5461034454718414,2.1584528455628234,12.0,1.0,0.0,1.0663238254814678,3.432569849017187,0.5461034454718414,2.1584528455628234,52.666666666666664,159.0
max,2024-04-01 00:59:59.999000,1.0437867013763404,3.3940364930285662,15.0,2.0,0.02440050374973929,1.0663238254814678,3.432569849017187,1.0437867013763404,3.3940364930285662,52.666666666666664,159.0
std,,0.47263323830739357,1.239186015128661,4.965184913423648,0.8081220356417685,0.01558891001990159,0.0,8.97195690676443e-16,0.47263323830739357,1.239186015128661,19.824002647183296,0.0
