,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,2024-04-01 00:59:59.999000576,0.02640924196317631,0.4224506580682567,1.6,0.6,0.000979112271540464,0.3149395786546893,1.8231563439172223,0.02640924196317631,0.4224506580682567,115.14055555555555,159.0
min,2024-04-01 00:59:59.999000,-0.32673616656014604,-1.7015285646524734,1.0,0.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.32673616656014604,-1.7015285646524734,13.041666666666666,159.0
25%,2024-04-01 00:59:59.999000064,-0.31493957865468925,-1.0985938211912885,1.0,0.0,0.0,0.31493957865468936,1.8231563439172225,-0.31493957865468925,-1.0985938211912885,41.68055555555555,159.0
50%,2024-04-01 00:59:59.999000064,0.10444082392526272,0.7310495127867723,1.0,0.5,0.0,0.31493957865468936,1.8231563439172225,0.10444082392526272,0.7310495127867723,150.52083333333331,159.0
75%,2024-04-01 00:59:59.999000064,0.31493957865468936,1.823156343917222,1.0,1.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.31493957865468936,1.823156343917222,158.0,159.0
max,2024-04-01 00:59:59.999000,0.31493957865468936,2.144125577832252,5.0,2.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.31493957865468936,2.144125577832252,158.0,159.0
std,,0.28406863228176793,1.462131239896472,1.287076398884564,0.6666666666666666,0.0021003204942633092,5.579080615598709e-17,2.2316322462394835e-16,0.28406863228176793,1.462131239896472,57.7773142221109,0.0
