,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,30.0,50.0,50.0,50.0,50.0,50.0,30.0,30.0,30.0,30.0
mean,2024-04-01 00:59:59.998999808,0.3141759858220085,2.7153578625577106,1.4,0.6,0.001958224543080928,0.31493957865468936,1.8231563439172223,0.5236266430366808,2.7153578625577106,115.86666666666666,159.0
min,2024-04-01 00:59:59.999000,0.0,1.823156343917222,0.0,0.0,0.0,0.31493957865468936,1.8231563439172225,0.31493957865468936,1.823156343917222,31.599999999999998,159.0
25%,2024-04-01 00:59:59.999000064,0.0,1.823156343917222,0.0,0.0,0.0,0.31493957865468936,1.8231563439172225,0.31493957865468936,1.823156343917222,31.599999999999998,159.0
50%,2024-04-01 00:59:59.999000064,0.31493957865468936,1.823156343917222,1.0,1.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.31493957865468936,1.823156343917222,158.0,159.0
75%,2024-04-01 00:59:59.999000064,0.31493957865468936,4.499760899838688,1.0,1.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.9410007718006637,4.499760899838688,158.0,159.0
max,2024-04-01 00:59:59.999000,0.9410007718006637,4.499760899838688,5.0,1.0,0.003263707571801547,0.31493957865468936,1.8231563439172225,0.9410007718006637,4.499760899838688,158.0,159.0
std,,0.34709393500062735,1.2833336571529268,1.8735538640862859,0.49487165930539345,0.001615116381545008,0.0,2.2429892266911074e-16,0.3001733665976476,1.2833336571529268,60.604161307752555,0.0
