,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,2024-04-01 00:59:59.999000064,0.17633440528356215,0.6452554525953236,53.7,0.9,-0.008993082244427398,1.6560951437066405,2.954168654696132,0.17633440528356215,0.6452554525953236,2.978958333333334,159.0
min,2024-04-01 00:59:59.999000,-0.45329873943693744,-0.9769146282917551,44.0,0.0,-0.02997694081475799,1.6560951437066405,2.954168654696132,-0.45329873943693744,-0.9769146282917551,2.46875,159.0
25%,2024-04-01 00:59:59.999000064,-0.23824535516157694,-0.17199123618297027,48.75,0.0,-0.02997694081475799,1.6560951437066405,2.954168654696132,-0.23824535516157694,-0.17199123618297027,2.719965277777778,159.0
50%,2024-04-01 00:59:59.999000064,0.01439184622907791,0.4845342267321331,55.5,0.5,0.0,1.6560951437066405,2.954168654696132,0.01439184622907791,0.4845342267321331,2.848611111111111,159.0
75%,2024-04-01 00:59:59.999000064,0.5000869767225846,1.4871309306366052,57.75,2.0,0.0,1.6560951437066405,2.954168654696132,0.5000869767225846,1.4871309306366052,3.2432291666666666,159.0
max,2024-04-01 00:59:59.999000,1.510196962241777,2.800538676133843,64.0,2.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.510196962241777,2.800538676133843,3.590277777777778,159.0
std,,0.6001419594745225,1.174364330290674,6.783149055645992,0.9944289260117534,0.020232892967495513,0.0,0.0,0.6001419594745225,1.174364330290674,0.39316787891426885,0.0
