,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-03-09 05:35:59.998999808,0.46466986014179895,0.4425911065566299,10.2,1.2,-0.0010489723787186268,1.4901883052527254,3.545657711425631,0.46466986014179895,0.4425911065566299,47.94277777777777,136.2
min,2023-12-08 23:59:59.999000,-0.8265609514370662,-4.701011415113447,1.0,1.0,-0.1251526251526251,0.8265609514370662,2.954168654696132,-0.8265609514370662,-4.701011415113447,6.8694444444444445,45.0
25%,2024-04-01 00:59:59.999000064,-0.3635697852737483,-0.15132790052779097,1.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,-0.3635697852737483,-0.15132790052779097,8.315277777777776,159.0
50%,2024-04-01 00:59:59.999000064,0.593154958166701,1.5823870005174798,7.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,0.593154958166701,1.5823870005174798,22.570833333333333,159.0
75%,2024-04-01 00:59:59.999000064,1.2642299355464681,2.5287391932107743,19.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.2642299355464681,2.5287391932107743,43.958333333333336,159.0
max,2024-04-01 00:59:59.999000,1.6560951437066405,2.954168654696133,23.0,2.0,0.02997694081475799,1.6560951437066405,5.911613938343627,1.6560951437066405,2.954168654696133,158.0,159.0
std,,0.9506771872038178,2.812818942915761,9.267014137272488,0.40406101782088427,0.06268181031889283,0.33518243004566933,1.1949883514601807,0.9506771872038178,2.812818942915761,57.195620270914134,46.0629560315808
