,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-03-19 05:23:59.999000320,-0.6199513608446181,-2.441489452668397,9.8,2.0,-0.052473406347421744,0.9637276151907243,3.6293692838567853,-0.6199513608446181,-2.441489452668397,56.1026388888889,146.2
min,2024-02-28 23:59:59.999000,-0.8280839057310828,-3.6655399611649497,1.0,2.0,-0.09458276024394542,0.8098332997546094,3.432569849017187,-0.8280839057310828,-3.6655399611649497,8.777777777777779,127.0
25%,2024-02-28 23:59:59.999000064,-0.8280839057310828,-3.6655399611649497,1.0,2.0,-0.09458276024394542,0.8098332997546094,3.432569849017187,-0.8280839057310828,-3.6655399611649497,10.533333333333333,127.0
50%,2024-04-01 00:59:59.999000064,-0.7225001844038144,-2.2540842947550184,14.0,2.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.7225001844038144,-2.2540842947550184,11.285416666666666,159.0
75%,2024-04-01 00:59:59.999000064,-0.36858705546263193,-1.6111366135490777,15.0,2.0,-0.02440050374973929,1.0663238254814678,3.9245684361161834,-0.36858705546263193,-1.6111366135490777,124.95833333333333,159.0
max,2024-04-01 00:59:59.999000,-0.3525017528944787,-1.0111464327079893,18.0,2.0,-0.02440050374973929,1.0663238254814678,3.9245684361161834,-0.3525017528944787,-1.0111464327079893,124.95833333333333,159.0
std,,0.21753155084697404,1.0848762724616932,7.3789551829399755,0.0,0.03473120972508451,0.1269298920625631,0.24347615717358945,0.21753155084697404,1.0848762724616932,56.7971701123356,15.835893097772592
