,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,2024-04-01 00:59:59.999000064,0.01818891745219159,0.17171480883830678,52.9,1.5,-0.014640302249843574,1.066323825481468,3.432569849017187,0.01818891745219159,0.17171480883830678,2.9827083333333335,159.0
min,2024-04-01 00:59:59.999000,-0.40201909438932737,-1.8974258821757957,49.0,0.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.40201909438932737,-1.8974258821757957,2.7236111111111114,159.0
25%,2024-04-01 00:59:59.999000064,-0.2375827897376226,-0.9780940063751937,50.5,1.25,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.2375827897376226,-0.9780940063751937,2.9347222222222222,159.0
50%,2024-04-01 00:59:59.999000064,0.07243907302915387,0.5672312160725553,53.0,2.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,0.07243907302915387,0.5672312160725553,2.9805555555555556,159.0
75%,2024-04-01 00:59:59.999000064,0.170806417809439,0.9397518992435279,53.75,2.0,-0.006100125937434822,1.0663238254814678,3.432569849017187,0.170806417809439,0.9397518992435279,3.116840277777778,159.0
max,2024-04-01 00:59:59.999000,0.569680845582341,2.237037739026542,58.0,2.0,0.02440050374973929,1.0663238254814678,3.432569849017187,0.569680845582341,2.237037739026542,3.1597222222222223,159.0
std,,0.30302054183671867,1.3499483930185143,2.9230881691191675,0.8498365855987975,0.017060976155023683,2.340555645717801e-16,0.0,0.30302054183671867,1.3499483930185143,0.15438667776261047,0.0
