,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,-0.19917284509383798,-0.7609917559181321,26.8,1.4,0.004880100749947857,1.0663238254814678,3.432569849017188,-0.19917284509383798,-0.7609917559181321,6.124861111111112,159.0
min,2024-04-01 00:59:59.999000,-0.4668132728358988,-1.9243574245896387,19.0,1.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.4668132728358988,-1.9243574245896387,4.646527777777778,159.0
25%,2024-04-01 00:59:59.999000064,-0.4198618608901695,-1.4061968168752161,25.0,1.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.4198618608901695,-1.4061968168752161,5.266666666666667,159.0
50%,2024-04-01 00:59:59.999000064,-0.35402767734768703,-1.306756386874466,26.0,1.0,0.02440050374973929,1.0663238254814678,3.432569849017187,-0.35402767734768703,-1.306756386874466,6.076388888888889,159.0
75%,2024-04-01 00:59:59.999000064,-0.3337910143094177,-1.2118824712416283,30.0,2.0,0.02440050374973929,1.0663238254814678,3.432569849017187,-0.3337910143094177,-1.2118824712416283,6.319444444444445,159.0
max,2024-04-01 00:59:59.999000,0.5786295999139832,2.044234319990289,34.0,2.0,0.02440050374973929,1.0663238254814678,3.432569849017187,0.5786295999139832,2.044234319990289,8.315277777777776,159.0
std,,0.3957461963076257,1.4385483085283943,5.086998232789958,0.49487165930539345,0.024150235557041915,0.0,8.97195690676443e-16,0.3957461963076257,1.4385483085283943,1.2584493659366487,0.0
