,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,0.5231875743785028,1.2266716200526713,65.4,1.0,0.011990776325903197,1.6560951437066402,2.9541686546961325,0.5231875743785028,1.2266716200526713,2.47875,159.0
min,2024-04-01 00:59:59.999000,-0.5311057930309164,-0.925802298332237,47.0,0.0,-0.02997694081475799,1.6560951437066405,2.954168654696132,-0.5311057930309164,-0.925802298332237,2.225,159.0
25%,2024-04-01 00:59:59.999000064,0.23894049774576098,1.0017784908188716,67.0,1.0,0.0,1.6560951437066405,2.954168654696132,0.23894049774576098,1.0017784908188716,2.225,159.0
50%,2024-04-01 00:59:59.999000064,0.33096638277632806,1.1799122310486445,71.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,0.33096638277632806,1.1799122310486445,2.225,159.0
75%,2024-04-01 00:59:59.999000064,0.5902369337526856,1.6347587867234887,71.0,1.0,0.02997694081475799,1.6560951437066405,2.954168654696132,0.5902369337526856,1.6347587867234887,2.357638888888889,159.0
max,2024-04-01 00:59:59.999000,1.9868998506486562,3.242710890004589,71.0,2.0,0.02997694081475799,1.6560951437066405,2.954168654696132,1.9868998506486562,3.242710890004589,3.361111111111111,159.0
std,,0.8300761135416923,1.348987284773403,9.424241429983224,0.6388765649999399,0.024225026433535045,2.2429892266911074e-16,4.485978453382215e-16,0.8300761135416923,1.348987284773403,0.44867064852076216,0.0
