,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,0.2201457607494069,0.9246992215015161,6.4,1.4,-0.009760201499895715,1.0663238254814678,3.432569849017188,0.2201457607494069,0.9246992215015161,28.321527777777774,159.0
min,2024-04-01 00:59:59.999000,-0.5628039312642816,-1.4556530839755772,4.0,0.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.5628039312642816,-1.4556530839755772,14.363194444444446,159.0
25%,2024-04-01 00:59:59.999000064,-0.3583332249215023,-1.2463258692387202,4.0,1.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,-0.3583332249215023,-1.2463258692387202,22.570833333333333,159.0
50%,2024-04-01 00:59:59.999000064,0.40527854383628936,1.7315495351846446,6.0,2.0,-0.02440050374973929,1.0663238254814678,3.432569849017187,0.40527854383628936,1.7315495351846446,25.67361111111111,159.0
75%,2024-04-01 00:59:59.999000064,0.5539880619898254,2.170348198452513,7.0,2.0,0.0,1.0663238254814678,3.432569849017187,0.5539880619898254,2.170348198452513,39.5,159.0
max,2024-04-01 00:59:59.999000,1.0625993541067036,3.42357732708472,11.0,2.0,0.02440050374973929,1.0663238254814678,3.432569849017187,1.0625993541067036,3.42357732708472,39.5,159.0
std,,0.6066133898948759,1.9601367940522016,2.6029810226126573,0.8081220356417685,0.019718584760923925,0.0,8.97195690676443e-16,0.6066133898948759,1.9601367940522016,9.947140919937928,0.0
