,date,Trader return,Sharpe ratio,Number of trades,action,reward,mkt_return,mkt_sharpe_ratio,trader_return,trader_sharpe_ratio,holding_time_mean_days,num_trades
count,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,2024-04-01 00:59:59.998999808,0.09031852691193842,0.6478971278474701,14.0,2.0,-0.0032637075718015473,0.31493957865468936,1.8231563439172223,0.09031852691193842,0.6478971278474701,11.780972222222221,159.0
min,2024-04-01 00:59:59.999000,-0.11875670188596099,-0.5971104681845537,10.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.11875670188596099,-0.5971104681845537,8.777777777777779,159.0
25%,2024-04-01 00:59:59.999000064,-0.04557029541381841,-0.09660457491611345,12.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,-0.04557029541381841,-0.09660457491611345,9.875,159.0
50%,2024-04-01 00:59:59.999000064,0.047460477473134866,0.47125423812898665,14.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,0.047460477473134866,0.47125423812898665,11.285416666666666,159.0
75%,2024-04-01 00:59:59.999000064,0.2738832770344708,1.679221610974124,16.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,0.2738832770344708,1.679221610974124,13.166666666666666,159.0
max,2024-04-01 00:59:59.999000,0.29457587735186586,1.7827248332349066,18.0,2.0,-0.003263707571801547,0.31493957865468936,1.8231563439172225,0.29457587735186586,1.7827248332349066,15.799999999999999,159.0
std,,0.1686876829322559,0.9569289228392476,2.857142857142857,0.0,4.380838333381069e-19,0.0,2.2429892266911074e-16,0.1686876829322559,0.9569289228392476,2.5140509494122956,0.0
